Film	director	screenwriter	actor
绣春刀II：修罗战场	路阳	陈舒 / 路阳 / 禹扬	张震 / 杨幂 / 张译 / 雷佳音 / 辛芷蕾 / 金士杰 / 刘端端 / 武强 / 杨轶 / 李媛 / 吴晓亮 / 李洪涛 / 刘峰超 / 袁文康 / 马赫 / 刘亭作 / 姜晓冲 / 陈齐威 / 王仁君 / 周一围
名侦探柯南：唐红的恋歌	静野孔文	大仓崇裕 / 青山刚昌	高山南 / 山崎和佳奈 / 小山力也 / 堀川亮 / 宫村优子 / 绪方贤一 / 岩居由希子 / 高木渉 / 大谷育江 / 林原惠美 / 宫川大辅 / 吉冈里帆 / 雪野五月
三生三世十里桃花	赵小丁 / 安东尼·拉默里纳拉	李晗 / 刘晗 / 麦灵 / 张亚亮 / 唐七	刘亦菲 / 杨洋 / 罗晋 / 严屹宽 / 李纯 / 顾璇 / 陈佩斯 / 彭子苏 / 张贺茗 / 王羽铮 / 塔拉
大病	迈克尔·肖沃特	艾米丽·V·戈登 / 库梅尔·南贾尼	库梅尔·南贾尼 / 佐伊·卡赞 / 霍利·亨特 / 雷·罗马诺 / 阿努潘·凯尔 / 泽诺比娅·谢罗夫 / 阿迪勒·阿赫塔尔 / 博·伯翰 / 艾迪·布莱恩特 / 库尔特·布劳诺勒 / 维拉.洛弗尔 / 迈拉·卢克利希亚·泰勒 / 杰里米·萨默斯 / 大卫·艾兰·格里尔 / 艾德·赫伯斯特曼 / 琳达·伊蒙 / 马修·卡德罗普
安娜贝尔2：诞生	大卫·F·桑德伯格	加里·多伯曼	斯黛芬妮·西格曼 / 特丽莎·贝特曼 / 露露·威尔逊 / 米兰达·奥图 / 安东尼·拉帕格利亚 / 艾丽西娅·维拉-贝利 / 格蕾丝·富尔顿 / 萨马拉·李 / 菲利帕·库特哈德 / 约瑟夫·比沙拉 / 凯莉·奥马利 / 布莱恩·豪威  / 亚当·巴特利 / 洛塔·洛森 / 布拉德·格林奎斯特 / 泰勒·巴克 / 马克·布拉姆霍尔 / 利亚姆·詹姆斯·拉莫斯 / 卢·卢·萨夫兰 / 泰勒·A·约翰逊 / 卡拉莱·奥斯汀
杀人优越权	朴勋政	朴勋政	张东健 / 金明民 / 朴熙顺 / 李钟硕 / 赵宇镇 / 郑雨琳 / 安德烈亚斯·弗龙克 / 李喜元
黑白迷宫	阚家伟	王晶	任达华 / 陈小春 / 伍允龙 / 邱意浓 / 张兆辉 / 林雪 / 李子雄 / 桂晶晶
记忆大师	陈正道	任鹏 / 陈正道	黄渤 / 段奕宏 / 徐静蕾 / 杨子姗 / 梁杰理 / 许玮甯 / 王真儿 / 焦刚 / 张念骅 / 杜函梦 / 栾元晖 / 曹英睿
神奇女侠	派蒂·杰金斯	艾伦·海因伯格 / 扎克·施奈德 / 贾森·福克斯 / 威廉·马斯顿	盖尔·加朵 / 克里斯·派恩 / 康妮·尼尔森 / 罗宾·怀特 / 丹尼·赫斯顿 / 大卫·休里斯 / 萨伊德·塔格马奥 / 艾文·布莱纳 / 尤金·布雷弗·洛克 / 露茜·戴维斯 / 埃伦娜·安纳亚 / 莉莉·阿斯佩尔 / 艾米丽·凯里 / 丽莎·洛文·孔斯利 / 安·奥戈博莫 / 杜晨·科洛斯
22年后的自白：我是杀人犯	入江悠	入江悠 / 平田研也 / 郑秉吉	藤原龙也 / 伊藤英明 / 夏帆 / 野村周平 / 石桥杏奈 / 龙星凉 / 早乙女太一 / 平田满 / 岩松了 / 岩城滉一 / 仲村亨
